keys,transactionSize,rangeSize,communities,rangeLocked,communityLocked
100000,10,20,20,45000,9992
100000,10,25,25,32000,7958
100000,10,30,30,33330,13359
100000,10,10,10,60000,19900
100000,10,15,15,39996,19761
100000,10,20,20,45000,4988
100000,10,25,25,36000,3936
100000,10,30,30,26664,6668
100000,10,10,10,60000,19892
100000,10,15,15,53328,13324
100000,10,20,20,40000,19791
100000,10,25,25,24000,3950
100000,10,30,30,29997,6419
100000,10,10,10,70000,20116
100000,10,15,15,53328,20240
100000,10,20,20,40000,4956
100000,10,25,25,32000,7865
100000,10,30,30,26664,10038
100000,10,10,10,50000,10010
100000,10,15,15,53328,26710
100000,10,20,20,45000,20026
100000,10,25,25,32000,15935
100000,10,30,30,29997,9964
100000,10,10,10,60000,20042
100000,10,15,15,46662,13329
100000,10,20,20,35000,9932
100000,10,25,25,36000,4012
100000,10,30,30,29997,10065
100000,10,10,10,50000,19849
100000,10,15,15,59994,13216
100000,10,20,20,45000,5055
100000,10,25,25,32000,3998
100000,10,30,30,33330,3374
100000,10,10,10,80000,30132
100000,10,15,15,59994,13252
100000,10,20,20,40000,9960
100000,10,25,25,32000,7991
100000,10,30,30,33330,10019
100000,10,10,10,70000,20075
100000,10,15,15,53328,26531
100000,10,20,20,45000,4968
100000,10,25,25,32000,3934
100000,10,30,30,29997,3389
100000,10,10,10,70000,20007
100000,10,15,15,46662,20087
100000,10,20,20,40000,5050
100000,10,25,25,32000,8001
100000,10,30,30,29997,10011
100000,10,10,10,60000,19900
100000,10,15,15,46662,20079
100000,10,20,20,35000,10004
100000,10,25,25,32000,12093
100000,10,30,30,29997,3319
100000,10,10,10,60000,29979
100000,10,15,15,53328,6670
100000,10,20,20,45000,14915
100000,10,25,25,28000,8067
100000,10,30,30,26664,10060
100000,10,10,10,50000,20073
100000,10,15,15,46662,13342
100000,10,20,20,45000,15152
100000,10,25,25,36000,8000
100000,10,30,30,29997,6482
100000,10,10,10,60000,30097
100000,10,15,15,59994,20318
100000,10,20,20,40000,14975
100000,10,25,25,36000,15935
100000,10,30,30,26664,3341
100000,10,10,10,90000,20118
100000,10,15,15,59994,13187
100000,10,20,20,45000,10068
100000,10,25,25,32000,3973
100000,10,30,30,23331,6556
100000,10,10,10,70000,10101
100000,10,15,15,33330,13387
